first_name,second_name,assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,form,goals_conceded,goals_scored,ict_index,idx,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,red_cards,saves,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,points_per_game
Cédric,Alves Soares,0,0,,,58822,0,0,-2,2,0.0,0,2,0.0,0.5,0,0.0,0,0,0.0,1,False,0.0,0,,,43,0,0,0,58822.jpg,0,0,0.2,False,,a,1,3,0.0,0,3395,173,17946,619,0.0,0.0,Cédric,0,0.0
Granit,Xhaka,2,2,,,84450,0,0,0,0,124.5,1,3,4.8,5.3,2,4.8,4,1,29.9,3,False,118.0,447,,,50,0,0,0,84450.jpg,0,0,2.9,False,,a,1,3,56.0,24,288921,15700,122420,14151,1.0,4.8,Xhaka,1,4.8
Mohamed,Elneny,0,0,0,25,153256,0,0,-1,1,3.8,0,3,0.0,0.2,0,0.4,1,0,0.8,4,False,4.2,90,Hamstring injury - Unknown return date,2022-08-30T11:30:06.278675Z,44,0,0,0,153256.jpg,0,0,1.0,False,,i,1,3,0.0,2,89861,509,119217,11024,0.1,0.5,Elneny,0,2.0
Rob,Holding,0,0,,,156074,0,0,-2,2,0.0,0,2,0.4,0.9,1,0.4,0,0,0.2,5,False,2.2,3,,,43,0,0,0,156074.jpg,0,0,0.1,False,,a,1,3,0.0,2,2337,199,10099,366,0.1,0.5,Holding,0,1.0
Thomas,Partey,0,0,0,25,167199,0,0,-1,1,21.5,0,3,0.0,0.5,0,1.6,2,0,11.2,6,False,41.2,270,Thigh injury - Expected back 18 Sep,2022-08-27T20:00:06.313026Z,49,0,0,0,167199.jpg,0,0,0.4,False,,i,1,3,49.0,8,25334,69,54992,4043,0.3,1.6,Partey,0,2.7
Martin,Ødegaard,0,6,75,,184029,0,0,1,-1,115.5,1,3,4.8,6.9,1,6.4,4,3,42.6,7,False,150.0,423,Knock - 75% chance of playing,2022-08-31T22:30:06.412548Z,66,0,0,0,184029.jpg,0,0,20.5,False,,d,1,3,160.0,32,1137679,117274,591488,105731,1.0,4.8,Ødegaard,1,6.4
Kieran,Tierney,0,0,100,100,192895,0,0,-1,1,19.8,0,2,1.4,1.9,2,1.4,2,0,7.8,8,False,30.2,172,,2022-08-04T15:00:05.276574Z,49,0,0,0,192895.jpg,0,0,1.0,False,,a,1,3,29.0,7,23501,3629,62215,2610,0.3,1.4,Tierney,0,1.4
Nicolas,Pépé,0,0,0,0,195735,0,0,-2,2,0.0,0,3,0.0,0.0,0,0.0,0,0,0.0,9,False,0.0,0,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,53,0,0,0,195735.jpg,0,0,0.2,False,,u,1,3,0.0,0,5198,0,31563,1137,0.0,0.0,Pépé,0,0.0
Benjamin,White,0,3,,,198869,0,0,0,0,37.0,0,2,4.4,4.9,8,4.4,3,0,11.4,10,False,69.6,392,,,45,0,0,0,198869.jpg,0,0,5.3,False,,a,1,3,8.0,22,135440,17699,211448,10505,1.0,4.9,White,2,4.4
Eddie,Nketiah,0,0,,,205533,0,0,-3,3,22.8,0,4,1.0,1.5,1,1.0,0,0,13.8,11,False,17.0,60,,,67,0,0,0,205533.jpg,0,0,0.4,False,,a,1,3,100.0,5,10128,369,56798,2220,0.1,0.7,Nketiah,0,1.0
Emile,Smith Rowe,0,0,100,100,209289,-1,1,-3,3,35.9,0,3,0.6,1.1,1,0.6,0,0,6.8,12,False,15.8,31,,2022-08-04T15:00:05.286949Z,57,0,0,0,209289.jpg,0,0,0.7,False,,a,1,3,17.0,3,16366,1937,103500,3534,0.1,0.5,Smith Rowe,0,1.0
Bukayo,Saka,3,0,,,223340,-1,1,-2,2,149.5,0,3,4.2,4.7,5,4.2,4,0,39.0,13,False,80.2,437,,,78,0,0,0,223340.jpg,0,0,11.7,False,,a,1,3,161.0,21,223103,11550,1143335,49520,0.5,2.7,Saka,0,4.2
Takehiro,Tomiyasu,0,0,100,100,223723,0,0,-2,2,11.5,0,2,0.6,1.1,1,0.6,1,0,2.7,14,False,12.2,57,,2022-08-04T15:00:05.298873Z,43,0,0,0,223723.jpg,0,0,0.8,False,,a,1,3,4.0,3,14019,1214,109606,3537,0.1,0.7,Tomiyasu,1,0.8
Aaron,Ramsdale,0,0,75,,225321,0,0,0,0,0.0,0,1,2.5,3.9,2,3.4,4,0,7.5,15,False,74.4,450,Muscle injury - 75% chance of playing,2022-08-31T22:30:06.428076Z,50,0,0,0,225321.jpg,0,8,13.8,False,,d,1,3,0.0,17,331071,12639,470432,56419,0.7,3.4,Ramsdale,0,3.4
Gabriel,dos Santos Magalhães,0,3,,,226597,1,-1,1,-1,17.8,0,2,5.2,5.7,2,5.2,4,1,25.5,16,True,120.8,450,,,51,0,0,0,226597.jpg,0,0,10.6,False,,a,1,3,116.0,26,446620,74464,272466,20568,1.0,5.1,Gabriel,0,5.2
Nuno,Varela Tavares,0,0,0,0,437626,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,17,False,0.0,0,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,0,0,0,437626.jpg,0,0,0.0,False,,u,1,3,0.0,0,0,0,1666,30,0.0,0.0,Tavares,0,0.0
